Kab/Kota;Jeruk. jeruk bali;Mangga;Apel;Rambutan;Duku. langsat;Durian;Salak;Pisang ambon;Pisang lainnya;Pepaya;Semangka;Tomat buah;Alpokat;Jambu biji;Nanas;Nangka;Pir;Anggur;Buah naga;Jambu air;Melon;Manggis;Kelengkeng;Buahbuahan lainnya
Bima;0.014;0.007;0.014;0.035;0.000;0.011;0.047;0.012;0.062;0.020;0.010;0.000;0.031;0.010;0.001;0.001;0.004;0.008;0.018;0.003;0.001;0.003;0.004;0.044
Sumbawa Barat;0.069;0.001;0.072;0.087;0.004;0.044;0.057;0.025;0.075;0.087;0.045;0.001;0.032;0.007;0.003;0.001;0.020;0.028;0.052;0.002;0.005;0.007;0.02;0.009
Lombok Utara;0.071;0.005;0.029;0.126;0.006;0.066;0.041;0.024;0.114;0.063;0.086;0.001;0.080;0.012;0.012;0.005;0.007;0.015;0.034;0.003;0;0.011;0.029;0.019
Kota Mataram;0.062;0.006;0.039;0.041;0.011;0.026;0.042;0.015;0.119;0.120;0.067;0.003;0.073;0.008;0.011;0.006;0.031;0.030;0.055;0.001;0.007;0.001;0.015;0.014
Kota Bima;0.020;0.001;0.025;0.040;0.001;0.018;0.055;0.004;0.100;0.042;0.008;0.000;0.031;0.005;0.001;0.000;0.016;0.016;0.014;0.001;;0.003;0.009;0.024
Sumba Barat;0.003;0.001;0.005;0.006;;0.008;0.003;0.036;0.056;0.058;0.001;0.000;0.049;0.008;0.000;0.002;0.000;0.000;0.001;;;;0;0.024
Sumba Timur;0.012;;0.013;0.014;0.000;0.014;0.019;0.034;0.145;0.073;0.010;0.000;0.029;0.017;0.002;0.003;;0.004;0.022;0.000;0;;0;0.038
Kupang;0.004;;0.008;0.004;;;0.006;0.035;0.165;0.090;0.025;0.002;0.016;0.007;0.001;0.002;0.004;0.002;0.005;;0;;0.002;0.004
Timor Tengah Selatan;0.002;0.008;0.005;0.002;0.000;0.000;0.006;0.012;0.234;0.090;0.006;0.005;0.094;0.020;0.016;0.018;0.000;0.001;0.000;0.000;;;0.001;0.031
Timor Tengah Utara;0.004;0.004;0.009;;;;0.001;0.047;0.122;0.064;0.022;0.001;0.050;0.012;0.006;0.003;0.000;0.000;0.003;;;;0.002;0.019
Belu;0.014;0.003;0.005;0.002;;;0.001;0.013;0.123;0.064;0.022;0.005;0.031;0.009;0.005;0.001;0.002;0.004;0.009;0.000;;;;0.007
Alor;0.001;0.003;0.002;0.002;;;0.002;0.051;0.249;0.030;0.006;0.003;0.015;0.007;0.001;0.001;0.000;0.003;0.005;0.004;;;;0.023
Lembata;0.004;0.006;0.005;0.013;;0.000;0.012;0.019;0.255;0.012;0.108;0.004;0.068;0.002;0.039;0.006;0.001;0.002;0.099;0.001;;;0;0.007
Flores Timur;0.012;0.010;0.016;0.038;0.000;0.000;0.023;0.033;0.197;0.034;0.019;0.006;0.060;0.003;0.010;0.001;0.007;0.002;0.034;0.001;;;0.004;0.002
Sikka;0.004;0.008;0.008;0.009;;0.004;0.023;0.019;0.085;0.089;0.003;0.000;0.074;0.004;0.011;0.008;0.001;0.005;0.007;0.001;;;0;0.016
Ende;0.005;0.006;0.003;0.007;;0.005;0.005;0.002;0.103;0.110;0.011;0.000;0.028;0.002;0.011;0.001;0.000;0.000;0.005;;;0;;0.001
Ngada;0.008;0.010;0.013;0.022;;0.003;0.011;0.021;0.075;0.093;0.008;0.026;0.085;0.007;0.017;0.007;0.001;0.004;0.010;0.001;;;;0.007
Manggarai;0.003;0.006;0.006;0.001;;0.017;0.002;0.031;0.045;0.043;0.003;0.002;0.035;0.010;0.008;0.009;0.000;;0.013;;;;;0.004
Rote Ndao;0.005;0.000;0.005;0.001;;;0.002;0.026;0.045;0.030;;;0.004;0.001;;0.002;0.000;0.003;0.010;;;;0.002;0.002
Manggarai Barat;0.003;0.003;0.008;0.003;0.003;0.074;0.005;0.026;0.039;0.041;0.004;0.002;0.027;0.001;0.013;0.001;0.000;0.001;0.017;0.001;;;;0.008
Sumba Tengah;0.005;;0.002;0.004;;0.004;0.002;0.037;0.058;0.077;0.002;0.001;0.043;0.019;0.001;0.000;;0.000;0.000;;;;;0.027
Sumba Barat Daya;0.003;;0.002;0.017;;0.007;0.005;0.066;0.094;0.115;0.003;0.015;0.023;0.006;0.002;0.001;0.000;0.000;0.014;0.001;;0.002;;0.049
Nagekeo;0.004;0.005;0.006;0.009;0.000;0.004;0.020;0.014;0.081;0.035;0.004;0.006;0.053;0.002;0.024;0.000;;0.002;0.007;0.001;;;;0.008
Manggarai Timur;0.001;0.011;0.002;0.008;;0.004;0.028;0.049;0.036;0.072;0.006;0.001;0.027;0.005;0.026;0.009;0.001;;0.006;0.002;;;0;0
Sabu Raijua;0.004;0.030;0.006;;;;0.005;0.046;0.028;0.040;0.017;0.002;0.002;0.002;0.001;;0.010;0.002;0.004;0.000;;;0.001;0.001
Malaka;0.005;0.014;0.005;0.000;0.000;0.000;0.004;0.057;0.117;0.072;0.028;0.002;0.049;0.045;0.007;0.005;0.000;0.002;0.018;0.002;;;0;0.006
Kota Kupang;0.016;0.001;0.023;0.008;;0.000;0.012;0.053;0.067;0.040;0.005;0.000;0.035;0.002;0.001;0.002;0.004;0.005;0.010;0.000;;;0;0.006
Sambas;0.058;0.001;0.008;0.075;0.076;0.001;0.002;0.011;0.163;0.069;0.028;0.000;0.000;0.016;0.019;0.003;0.008;0.005;0.037;0.015;;0.003;0.003;0.108
Bengkayang;0.050;0.001;0.011;0.040;0.047;0.010;0.006;0.012;0.135;0.072;0.064;0.001;0.001;0.007;0.012;0.004;0.004;0.002;0.013;0.003;0.002;0.005;0.001;0.046
Landak;0.044;0.006;0.006;0.072;0.028;0.006;0.010;0.003;0.104;0.037;0.041;0.000;0.001;0.001;0.005;0.014;0.001;0.002;0.002;0.002;;0.002;0.004;0.072
Mempawah;0.057;0.007;0.009;0.026;0.030;0.002;0.009;0.006;0.143;0.069;0.083;0.000;0.002;0.003;0.063;0.015;0.004;0.004;0.021;0.017;0;;0.006;0.063
Sanggau;0.037;0.003;0.006;0.094;0.051;0.014;0.007;0.023;0.058;0.032;0.055;0.000;0.002;0.002;0.015;0.003;0.004;0.001;0.006;0.005;0.002;0.003;0.021;0.079
Ketapang;0.039;0.008;0.016;0.075;0.040;0.020;0.014;0.011;0.115;0.037;0.078;0.001;0.002;0.003;0.027;0.006;0.013;0.006;0.011;0.005;0.006;0;0.012;0.026
Sintang;0.060;0.006;0.011;0.128;0.044;0.036;0.011;0.018;0.130;0.050;0.103;0.000;0.002;0.007;0.013;0.007;0.001;0.002;0.009;0.010;0.001;0.002;0.017;0.07
Kapuas Hulu;0.034;0.018;0.012;0.081;0.097;0.019;0.007;0.028;0.098;0.015;0.055;0.001;;0.005;0.010;0.004;0.002;0.002;0.008;0.008;;0.002;0.016;0.107
Sekadau;0.058;0.023;0.015;0.170;0.147;0.101;0.008;0.007;0.155;0.049;0.069;0.001;0.000;0.009;0.033;0.018;0.019;0.009;0.015;0.020;0.001;0.01;0.111;0.139
Melawi;0.034;0.004;0.004;0.030;0.051;0.009;0.008;0.017;0.047;0.022;0.049;0.001;0.001;0.001;0.006;0.003;0.002;0.005;0.001;0.002;0;0;0.001;0.033
Kayong Utara;0.038;0.004;0.014;0.069;0.031;0.011;0.004;0.042;0.146;0.024;0.050;0.000;0.001;0.005;0.009;0.007;0.002;0.003;0.001;0.003;0.004;0.002;0.009;0.066
Kubu Raya;0.033;0.007;0.009;0.057;0.070;0.017;0.005;0.015;0.181;0.064;0.103;0.000;0.005;0.014;0.031;0.009;0.008;0.005;0.018;0.014;0.001;0.009;0.008;0.047
Kota Pontianak;0.072;0.009;0.016;0.012;0.064;0.004;0.004;0.011;0.114;0.068;0.058;0.002;0.011;0.014;0.033;0.002;0.017;0.012;0.037;0.024;0.002;0.001;0.004;0.048
Kota Singkawang;0.084;0.003;0.016;0.037;0.042;0.030;0.002;0.028;0.145;0.126;0.055;;0.020;0.008;0.026;0.003;0.012;0.006;0.039;0.018;0.003;;0.007;0.055
Kotawaringin Barat;0.044;0.008;0.020;0.039;0.025;0.003;0.021;0.042;0.107;0.064;0.112;0.004;0.020;0.004;0.024;0.002;0.018;0.007;0.039;0.007;0.004;;0.009;0.014
Kotawaringin Timur;0.046;0.019;0.023;0.052;0.027;0.003;0.011;0.073;0.078;0.049;0.120;0.001;0.003;0.006;0.014;0.005;0.011;0.021;0.029;0.004;0.002;0;0.015;0.029
Kapuas;0.020;0.007;0.012;0.156;0.032;0.010;0.010;0.007;0.109;0.032;0.085;0.001;0.001;0.004;0.024;0.007;0.002;0.003;0.008;0.001;0.001;;0.004;0.018
Barito Selatan;0.015;0.021;0.010;0.084;0.011;0.032;0.014;0.019;0.081;0.027;0.081;0.003;0.001;0.007;0.010;0.014;0.002;0.005;0.003;0.003;0.005;0;0.008;0.013
Barito Utara;0.018;0.020;0.014;0.061;0.033;0.065;0.011;0.036;0.082;0.029;0.074;0.003;0.001;0.006;0.016;0.004;0.003;0.005;0.006;0.001;0.003;0.004;0.02;0.068
Sukamara;0.066;0.006;0.022;0.070;0.016;0.003;0.010;0.050;0.109;0.032;0.114;0.000;0.009;0.004;0.021;0.004;0.011;0.015;0.022;0.004;0.001;0.002;0.024;0.031
Lamandau;0.070;0.008;0.035;0.016;0.045;0.051;0.031;0.065;0.074;0.058;0.156;0.001;0.008;0.005;0.020;0.005;0.019;0.012;0.018;0.010;0.006;0;0.018;0.028
Seruyan;0.045;0.016;0.013;0.059;0.065;0.002;0.018;0.033;0.086;0.020;0.210;0.005;0.001;0.009;0.014;0.005;0.005;0.006;0.017;0.002;0.003;0;0.007;0.013
Katingan;0.052;0.012;0.020;0.056;0.029;0.001;0.012;0.041;0.081;0.038;0.133;0.001;0.003;0.014;0.014;0.013;0.004;0.003;0.015;0.005;0.004;0.003;0.012;0.045
Pulang Pisau;0.062;0.013;0.010;0.143;0.010;0.046;0.013;0.028;0.154;0.043;0.118;0.002;0.004;0.012;0.015;0.008;0.005;0.002;0.033;0.006;0;0.001;0.007;0.022
Gunung Mas;0.032;0.015;0.009;0.104;0.043;0.096;0.017;0.012;0.120;0.027;0.084;0.001;0.000;0.004;0.008;0.014;0.000;0.005;0.004;0.003;0.002;0.009;0.005;0.022
Barito Timur;0.020;0.023;0.014;0.231;0.034;0.032;0.026;0.017;0.158;0.063;0.072;0.002;0.002;0.009;0.035;0.019;0.004;0.012;0.010;0.001;0.001;0.002;0.036;0.178
Murung Raya;0.015;0.022;0.024;0.103;0.044;0.194;0.010;0.012;0.066;0.017;0.052;0.001;0.003;0.002;0.010;0.005;0.001;0.004;0.007;0.002;0.001;0.003;0.007;0.015
Kota Palangka Raya;0.041;0.013;0.014;0.050;0.060;0.009;0.016;0.055;0.113;0.085;0.104;0.001;0.008;0.011;0.016;0.006;0.005;0.015;0.035;0.001;0.01;0.002;0.012;0.033
Tanah Laut;0.018;0.007;0.010;0.147;0.048;0.008;0.018;0.013;0.105;0.045;0.099;0.000;0.007;0.002;0.013;0.008;0.007;0.007;0.010;0.000;0.007;0.002;0.009;0.014
Kota Baru;0.019;0.009;0.009;0.171;0.006;0.026;0.010;0.015;0.135;0.028;0.120;0.004;0.002;0.002;0.007;0.003;0.005;0.007;0.011;0.002;0.003;0;0.006;0.021
Banjar;0.009;0.007;0.007;0.270;0.053;0.013;0.005;0.017;0.147;0.043;0.068;0.000;0.003;0.004;0.013;0.009;0.005;0.005;0.009;0.001;0.004;0.001;0.005;0.059
Barito Kuala;0.050;0.004;0.011;0.180;0.022;0.006;0.013;0.015;0.121;0.039;0.075;0.002;0.001;0.006;0.020;0.005;0.002;0.004;0.012;0.006;0.001;;0.01;0.042
Tapin;0.014;0.025;0.013;0.262;0.049;0.049;0.008;0.021;0.139;0.067;0.087;0.000;0.003;0.011;0.012;0.014;0.007;0.004;0.011;0.001;0.001;0.001;0.008;0.023
Hulu Sungai Selatan;0.008;0.010;0.009;0.153;0.023;0.010;0.005;0.034;0.161;0.083;0.022;0.000;0.004;0.003;0.016;0.001;0.003;0.006;0.004;0.000;0;0.003;0.009;0.032
Hulu Sungai Tengah;0.011;0.014;0.020;0.258;0.035;0.030;0.010;0.021;0.192;0.082;0.064;0.001;0.001;0.021;0.018;0.005;0.002;0.007;0.010;0.006;0.005;0.004;0.011;0.039
Hulu Sungai Utara;0.012;0.006;0.011;0.156;0.016;0.011;0.006;0.018;0.117;0.044;0.044;0.000;0.001;0.005;0.006;0.005;0.003;0.004;0.004;0.001;0.001;0.001;0.006;0.071
Tabalong;0.022;0.034;0.025;0.276;0.044;0.042;0.030;0.047;0.126;0.122;0.193;0.001;0.003;0.003;0.027;0.017;0.008;0.017;0.023;0.003;0.006;0.002;0.021;0.027
Tanah Bumbu;0.034;0.009;0.014;0.121;0.020;0.030;0.011;0.016;0.117;0.040;0.118;0.001;0.008;0.004;0.012;0.009;0.015;0.006;0.020;0.004;0.007;0.001;0.01;0.013
Balangan;0.011;0.019;0.018;0.286;0.029;0.083;0.010;0.009;0.163;0.050;0.086;0.000;0.002;0.012;0.016;0.013;0.006;0.008;0.012;0.005;0.001;0.002;0.014;0.029
Kota Banjarmasin;0.010;0.008;0.018;0.123;0.036;0.006;0.013;0.054;0.078;0.106;0.058;0.002;0.022;0.003;0.018;0.005;0.006;0.006;0.032;0.001;0.003;0;0.005;0.028
Kota Banjar Baru;0.025;0.013;0.022;0.267;0.019;0.026;0.011;0.054;0.098;0.091;0.081;0.002;0.008;0.003;0.011;0.001;0.008;0.008;0.033;0.003;0.01;0.003;0.009;0.034
Paser;0.049;0.015;0.022;0.120;0.053;0.016;0.011;0.035;0.105;0.048;0.110;0.001;0.008;0.001;0.005;0.004;0.015;0.013;0.006;0.001;0.002;0.002;0.023;0.005
Kutai Barat;0.026;0.012;0.022;0.252;0.028;0.100;0.006;0.034;0.070;0.046;0.097;0.001;0.007;0.001;0.030;0.008;0.009;0.002;0.014;0.000;0.001;0.001;0.005;0.007
Kutai Kartanegara;0.051;0.042;0.019;0.119;0.007;0.048;0.012;0.032;0.110;0.042;0.095;0.002;0.011;0.002;0.030;0.003;0.009;0.011;0.013;0.005;0.01;0.001;0.02;0.007
Kutai Timur;0.059;0.035;0.039;0.104;0.025;0.023;0.006;0.018;0.096;0.051;0.113;0.002;0.020;0.003;0.024;0.009;0.019;0.015;0.015;0.003;0.003;;0.018;0.005
Berau;0.022;0.023;0.026;0.158;0.073;0.013;0.003;0.035;0.072;0.054;0.083;0.001;0.015;0.001;0.010;0.000;0.020;0.010;0.009;0.004;0.001;0.005;0.008;0.021
Penajam Paser Utara;0.044;0.041;0.023;0.170;0.020;0.012;0.011;0.026;0.178;0.039;0.120;;0.014;0.015;0.015;0.005;0.014;0.008;0.007;0.002;0.013;0.003;0.016;0.015
Mahakam Ulu;0.006;0.005;0.004;0.107;0.031;0.035;;0.027;0.063;0.016;0.018;0.002;;0.001;0.012;0.001;0.000;0.001;0.001;0.002;;;0.001;0.006
Kota Balikpapan;0.076;0.048;0.034;0.047;0.028;0.003;0.011;0.042;0.130;0.076;0.079;0.001;0.027;0.005;0.025;0.005;0.021;0.011;0.016;0.006;0.004;0.001;0.008;0.01
Kota Samarinda;0.047;0.031;0.029;0.055;0.011;0.019;0.018;0.039;0.091;0.074;0.075;0.001;0.017;0.002;0.015;0.004;0.034;0.020;0.019;0.001;0.01;0.002;0.009;0.01
Kota Bontang;0.048;0.049;0.045;0.025;0.015;0.021;0.008;0.063;0.138;0.111;0.119;0.002;0.017;0.003;0.032;0.005;0.024;0.015;0.010;0.004;0.02;0.002;0.021;0.005
Malinau;0.019;0.010;0.004;0.025;0.009;0.000;0.001;0.029;0.201;0.045;0.049;;0.004;0.002;0.034;0.004;0.003;0.002;0.004;0.001;0;;0.004;0.032
Bulungan;0.019;0.018;0.019;0.322;0.093;0.101;0.001;0.037;0.119;0.045;0.073;0.002;0.009;0.006;0.015;0.006;0.006;0.003;0.006;0.004;0.001;0.003;0.002;0.028
Tana Tidung;0.031;0.016;0.021;0.079;0.020;0.011;0.004;0.031;0.112;0.067;0.072;0.001;0.005;0.000;0.013;0.004;0.003;0.003;0.008;0.007;0;;0;0.005
Nunukan;0.011;0.032;0.013;0.003;0.002;;0.002;0.003;0.194;0.036;0.062;0.001;0.002;0.001;0.011;0.003;0.005;0.003;0.007;0.006;0.004;;0.001;0.007
Kota Tarakan;0.014;0.019;0.020;0.146;0.007;0.013;0.003;0.024;0.117;0.072;0.044;0.003;0.005;0.000;0.004;0.002;0.009;0.013;0.004;0.003;0.005;;0.002;0.012
Bolaang Mongondow;0.017;0.102;0.006;0.036;0.001;0.098;0.011;0.048;0.143;0.110;0.066;0.001;0.017;;0.010;0.006;0.001;0.000;0.005;0.001;;0;;0.001
Minahasa;0.010;0.061;0.032;0.025;;0.023;0.040;0.066;0.142;0.146;0.077;0.055;0.061;0.001;0.008;0.002;0.001;0.005;0.002;0.001;0.001;;0;0.003
Kepulauan Sangihe;0.040;0.072;0.002;0.013;0.002;0.006;0.005;0.042;0.120;0.099;0.009;;0.003;0.000;0.013;0.003;0.000;0.002;;;0.001;0.001;;0.002
Kepulauan Talaud;0.004;0.101;0.012;0.001;;;0.007;0.013;0.121;0.039;0.008;0.260;0.003;0.003;0.000;0.002;0.000;0.001;0.002;0.000;;;0;0.002
Minahasa Selatan;0.007;0.050;0.032;0.043;0.003;0.037;0.027;0.040;0.159;0.169;0.056;0.000;0.040;0.001;0.013;0.000;0.005;0.001;0.004;;0.001;;;0.001
Minahasa Utara;0.019;0.089;0.023;0.100;0.002;0.030;0.018;0.041;0.131;0.112;0.071;;0.012;0.002;0.008;0.002;0.006;0.005;0.004;0.001;0;0.001;0.001;0.003
Bolaang Mongondow Utara;0.000;0.149;0.002;0.109;0.005;0.069;0.000;0.014;0.128;0.098;0.015;0.065;0.006;;0.004;0.001;0.000;0.000;0.005;0.004;;0.008;;0
Siau Tagulandang Biaro;0.001;0.115;0.004;0.000;;0.006;0.041;0.011;0.125;0.071;0.002;0.008;0.015;0.001;0.006;0.016;0.000;0.001;0.002;;;;;0.017
Minahasa Tenggara;0.008;0.110;0.016;0.041;0.000;0.037;0.026;0.046;0.164;0.118;0.104;;0.066;0.001;0.002;0.004;0.004;0.002;0.006;;0;0.001;;0.003
Bolaang Mongondow Selatan;0.003;0.179;0.010;0.024;0.004;0.115;0.015;0.013;0.136;0.043;0.037;;0.019;0.002;0.005;0.010;0.001;0.001;0.002;;;0.001;;0.005
Bolaang Mongondow Timur;0.018;0.185;0.012;0.034;0.001;0.068;0.002;0.042;0.120;0.071;0.035;0.010;0.027;0.000;0.002;0.003;0.002;0.000;0.005;;0.001;0.002;0.004;0.004
Kota Manado;0.017;0.050;0.024;0.058;0.004;0.014;0.011;0.047;0.130;0.138;0.039;0.029;0.009;;0.002;0.002;0.002;0.003;0.001;0.000;0.001;;0;0.007
Kota Bitung;0.009;0.179;0.023;0.046;0.001;0.020;0.008;0.047;0.126;0.102;0.043;0.007;0.015;0.000;0.005;0.008;0.003;0.004;0.006;0.000;;0.001;0;0.004
Kota Tomohon;0.015;0.084;0.032;0.020;0.003;0.019;0.020;0.072;0.111;0.173;0.083;0.118;0.058;0.000;0.001;0.000;0.003;0.006;0.001;;0.002;;;0.008
Kota Kotamobagu;0.015;0.049;0.016;0.070;0.002;0.037;0.004;0.052;0.160;0.085;0.059;0.002;0.032;0.002;0.014;0.004;0.001;0.001;0.007;0.003;0;0;0.001;0.005
Banggai Kepulauan;0.002;0.071;0.005;0.001;0.003;0.187;0.009;0.030;0.248;0.083;0.089;0.091;0.011;0.000;0.013;0.001;0.000;0.001;0.011;0.000;;;;0.008
Banggai;0.018;0.102;0.014;0.025;0.003;0.064;0.017;0.039;0.178;0.073;0.045;0.079;0.032;0.004;0.023;0.015;0.005;0.005;0.034;0.003;;0.001;0;0.008
Morowali;0.013;0.031;0.023;0.027;0.004;0.039;0.008;0.016;0.090;0.048;0.043;0.074;0.018;0.000;0.000;0.006;0.003;0.013;0.013;0.001;0.005;;0.003;0
Poso;0.007;0.014;0.009;0.058;0.001;0.179;0.004;0.019;0.132;0.129;0.053;0.049;0.043;0.005;0.013;0.001;0.005;0.002;0.019;0.002;0;0.001;0.006;0.003
Donggala;0.009;0.060;0.009;0.015;0.001;0.097;0.014;0.030;0.252;0.052;0.057;0.032;0.016;0.009;0.006;0.014;0.007;0.003;0.009;0.006;;0.001;0.002;0.002
ToliToli;0.018;0.052;0.010;0.020;0.003;0.104;0.003;0.008;0.157;0.040;0.049;0.012;0.013;0.003;0.007;0.006;0.007;0.013;0.010;0.021;;0.003;0.001;0.002
Buol;0.012;0.093;0.002;0.044;0.007;0.152;0.008;0.031;0.168;0.100;0.017;0.072;0.006;0.001;0.001;0.001;0.001;0.001;0.004;0.005;0.001;;;0.003
Parigi Moutong;0.036;0.056;0.023;0.027;0.007;0.249;0.006;0.031;0.217;0.071;0.089;0.083;0.039;0.007;0.009;0.009;0.009;0.005;0.012;0.011;0.003;0.003;;0.013
Tojo UnaUna;0.004;0.058;0.002;0.053;0.017;0.278;0.016;0.036;0.126;0.086;0.040;0.000;0.006;0.004;;0.005;0.001;0.000;0.002;;;;;0
Sigi;0.007;0.063;0.008;0.024;0.004;0.051;0.007;0.031;0.134;0.077;0.038;0.101;0.016;0.014;0.003;0.004;0.002;0.001;0.004;0.005;;0;0;0.005
Banggai Laut;0.007;0.169;0.004;0.011;0.001;0.096;0.001;0.004;0.117;0.039;0.050;0.044;0.007;0.000;0.011;0.001;0.001;0.001;0.002;0.007;;;;0.001
Morowali Utara;0.040;0.025;0.022;0.045;0.007;0.073;0.015;0.026;0.102;0.087;0.037;0.039;0.025;0.003;0.021;0.012;0.006;0.019;0.018;0.008;0.004;0.003;;0.002
Kota Palu;0.031;0.054;0.024;0.013;;0.011;0.012;0.021;0.103;0.071;0.051;0.067;0.028;0.005;0.003;0.001;0.013;0.015;0.022;0.005;0;0.001;0.001;0.004
Kepulauan Selayar;0.006;0.024;0.020;0.027;0.002;0.029;0.009;0.022;0.211;0.051;0.015;0.005;0.005;0.003;0.003;0.001;0.003;0.006;0.004;0.004;;;0;0.063
Bulukumba;0.011;0.048;0.043;0.171;0.017;0.531;0.028;0.036;0.192;0.058;0.041;0.029;0.012;0.003;0.020;0.019;0.008;0.011;0.057;0.004;0;0.007;0.008;0.056
Bantaeng;0.015;0.024;0.017;0.129;0.006;0.246;0.009;0.076;0.212;0.065;0.033;0.014;0.029;0.004;0.040;0.016;0.002;0.002;0.062;0.001;;0.001;0.001;0.055
Jeneponto;0.012;0.017;0.008;0.127;0.021;0.101;0.016;0.050;0.180;0.040;0.012;0.024;0.007;0.003;0.003;0.010;0.001;0.000;0.030;0.001;;;0;0.017
Takalar;0.014;0.008;0.013;0.162;0.004;0.022;0.037;0.035;0.290;0.040;0.009;0.021;0.007;0.002;0.003;0.000;0.004;0.007;0.020;0.001;;0.001;0.001;0.012
Gowa;0.020;0.014;0.015;0.127;0.007;0.058;0.037;0.025;0.181;0.041;0.017;0.027;0.015;0.004;0.006;0.010;0.008;0.005;0.038;;0.001;0.001;0.002;0.022
Sinjai;0.016;0.027;0.015;0.100;0.001;0.216;0.009;0.084;0.148;0.046;0.033;0.012;0.011;0.002;0.012;0.021;0.006;0.002;0.026;0.007;;0.006;0.001;0.008
Maros;0.016;0.009;0.026;0.070;0.005;0.020;0.030;0.006;0.202;0.042;0.002;0.018;0.016;0.002;0.003;0.002;0.010;0.004;0.034;0.000;0;0;0.004;0.015
Pangkajene dan Kepulauan;0.028;0.020;0.028;0.074;0.002;0.030;0.053;0.009;0.241;0.093;0.010;0.004;0.047;0.017;0.004;0.009;0.015;0.010;0.046;0.009;0.001;0;0.001;0.032
Barru;0.007;0.003;0.014;0.091;0.005;0.031;0.033;0.014;0.162;0.029;0.007;0.033;0.008;0.001;0.005;0.001;0.005;0.006;0.025;;0.002;;0;0.01
Bone;0.007;0.020;0.012;0.112;0.000;0.087;0.009;0.029;0.208;0.035;0.008;0.011;0.004;0.000;0.002;0.001;0.003;0.001;0.016;0.000;0;;0.001;0.027
Soppeng;0.007;0.011;0.017;0.047;0.002;0.027;0.048;0.034;0.249;0.092;0.013;0.011;0.008;0.000;0.002;0.001;0.005;0.003;0.047;0.001;;0;0;0.017
Wajo;0.007;0.023;0.015;0.045;0.009;0.126;0.021;0.007;0.243;0.049;0.033;0.025;0.005;0.001;0.009;0.003;0.004;0.005;0.024;0.000;;0;0.002;0.004
Sidenreng Rappang;0.010;0.012;0.035;0.088;0.009;0.149;0.022;0.016;0.140;0.041;0.023;0.011;0.009;0.001;0.007;0.003;0.009;0.007;0.023;0.002;;;0.002;0.006
Pinrang;0.012;0.003;0.022;0.186;0.008;0.032;0.021;0.010;0.178;0.064;0.017;0.068;0.010;0.001;0.006;0.001;0.005;0.005;0.016;0.000;;0;0.001;0.004
Enrekang;0.032;0.030;0.021;0.112;0.004;0.116;0.014;0.029;0.159;0.112;0.036;0.014;0.031;0.002;0.005;0.004;0.009;0.001;0.078;0.002;0.002;0.002;0.005;0.003
Luwu;0.011;0.015;0.011;0.267;0.009;0.161;0.014;0.006;0.165;0.054;0.044;0.054;0.019;0.003;0.018;0.008;0.006;0.003;0.022;0.003;;0.001;0.001;0.013
Tana Toraja;0.023;0.016;0.014;0.040;0.001;0.007;0.006;0.062;0.199;0.057;0.015;0.041;0.026;0.011;0.005;0.011;0.002;0.005;0.009;0.002;;;0.002;0.004
Luwu Utara;0.059;0.014;0.015;0.184;0.017;0.396;0.016;0.012;0.253;0.060;0.087;0.100;0.017;0.006;0.015;0.012;0.002;0.002;0.021;0.006;;0.008;0.001;0.013
Luwu Timur;0.028;0.008;0.036;0.085;0.007;0.227;0.024;0.031;0.187;0.076;0.076;0.050;0.054;0.002;0.008;0.006;0.013;0.007;0.039;0.002;0.002;0.002;0.003;0.02
Toraja Utara;0.010;0.012;0.017;0.064;0.005;0.016;0.017;0.038;0.129;0.098;0.019;0.031;0.022;0.011;0.006;0.006;0.003;0.004;0.035;0.000;0.001;0.001;0;0
Kota Makassar;0.040;0.026;0.031;0.058;0.002;0.058;0.021;0.025;0.116;0.065;0.021;0.022;0.013;0.001;0.005;0.000;0.022;0.017;0.037;0.000;0.001;0;0.007;0.008
Kota Parepare;0.021;0.006;0.030;0.058;0.001;0.042;0.024;0.005;0.228;0.080;0.025;0.043;0.021;0.001;0.006;0.001;0.011;0.008;0.033;;;0;0;0.016
Kota Palopo;0.027;0.003;0.016;0.158;0.008;0.152;0.014;0.008;0.125;0.061;0.052;0.014;0.051;0.000;0.005;0.004;0.010;0.005;0.021;0.002;0.001;0.001;0.004;0.012
Buton;0.008;0.032;0.006;0.057;;0.005;0.025;0.035;0.150;0.037;0.008;0.000;0.007;0.004;0.013;0.003;0.002;0.001;0.007;0.000;;;0.001;0.015
Muna;0.009;0.005;0.012;0.147;0.002;0.005;0.009;0.035;0.212;0.057;0.066;0.028;0.008;0.000;0.028;0.004;0.004;0.001;0.022;0.001;0.001;;;0.007
Konawe;0.053;0.021;0.024;0.052;;0.066;0.018;0.009;0.150;0.054;0.053;0.031;0.010;0.002;0.016;0.004;0.010;0.005;0.008;0.001;0;;0.002;0.001
Kolaka;0.027;0.028;0.021;0.105;0.001;0.066;0.020;0.017;0.170;0.073;0.153;0.022;0.010;0.001;0.012;0.013;0.004;0.008;0.031;0.001;;0.001;0.001;0.004
Konawe Selatan;0.018;0.004;0.017;0.105;0.011;0.055;0.030;0.018;0.111;0.045;0.018;0.040;0.003;0.003;0.008;0.002;0.009;0.002;0.033;;0.001;;0.006;0.002
